Company,Part,Cost Per Pcs,QTY,Total Cost,Link
,,,,,
PARTS LEFT,,,,,
RepeatRobotics,Weapon ESC,$30,1,$30,https://www.amazon.com/gp/product/B0DQKS5Z63?smid=A399B0GHKF2YQX&th=1
PalmBeachBots,Drive Esc,$14,2,$28,https://palmbeachbots.com/products/bl-heli-20a-brushless-speed-controller-reversing?_pos=7&_sid=327742323&_ss=r
RepeatRobotics,Drive Motor,$45,2,$90,https://repeat-robotics.com/buy/repeat-compact-1806/
RepeatRobotics,Weapon Motor,$20,1,$20,https://repeat-robotics.com/buy/2836-beetle-brushless-motor/
McMaster Carr,".5"" HDPE Material ",$16.69,1,$16.69,https://www.mcmaster.com/8619K471/
Send Cut Send,ALL CNC PARTS(STEEL BLADE),$31,1,$31,
Send Cut Send,All CNC parts (CARBON FIBER),$54,1,$54,
RepeatRobotics,Needle Bearings,$6,2,$12,https://repeat-robotics.com/buy/tc512-needle-thrust-bearing/
RepeatRobotics,Shafts,$14,1,$14,https://repeat-robotics.com/buy/peter-bar-weapon-standoffs-replacement/
RepeatRobotics,Needle Bearings,$3,2,$6,https://palmbeachbots.com/products/sce55-needle-roller-bearing-3-pound-beater-bar-spares?_pos=3&_sid=d32c8aa0d&_ss=r
McMaster Carr,Lock Nuts,$5.64,1,$5.64,https://www.mcmaster.com/97135A225/
McMaster Carr,Weapon Shaft,$12.49,1,$12.49,https://www.mcmaster.com/91257A445/
Amazon,Battery,$14.99,1,$14.99,https://www.amazon.com/OVONIC-14-8V-130C-850mAh-Battery/dp/B0D3F6Z37F/ref=sr_1_1_sspa?dib=eyJ2IjoiMSJ9._yNVV14MyvTzM0PwA7CHjcgLLmpFRMxUGmhqeoeZL0E8oktDB2WmgBzKBE_-nt1iChI83luzGLCTsdmWiytJL5yCYANCuN1s9_jhAF3h37Rwhl4tyfU0zAxTpxZ3hk0I5pDtQqirSoZCX2Md2A_KzxZwD5F_JwnHlAYw8zMc9WZZeaLl4S80Ck0Z5FUZH2LxMn4FqPM7GbPn26sJeF0ShKILum-XQC2qZfiV59h6qncKD-DmPnLKwsG7FJZew49O3348Y_XgVOrjs7UvfgAb9Kjae21pEldOSKNlxZpupX0.tmf5kSEb9ZWtspDsrTVTCkrFIO5L19-4Fo67zb3oYkE&dib_tag=se&keywords=4S+850mAh+XT60+Gen2+95C&qid=1753168667&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
PalmBeachBots,15T Dual Pulley,$5,2,$10,https://palmbeachbots.com/products/fingertech-s3m-timing-pulley-15t-dual?_pos=2&_sid=c77b11c3c&_ss=r
,,,,,
,,,TOTAL,$344,
,,,,,
ALREADY HAVE,,,,,
Amazon,Connectors,$8.50,1,$8.50,https://www.amazon.com/TMH-Connector-Female-Connectors-Battery/dp/B0D35KRVCR/ref=sr_1_14_sspa?crid=2M1LZXKXZ30BY&dib=eyJ2IjoiMSJ9.niDBh91fCoZCfctZLB36dmojGWi5MfyqRR5NvNfkxIofpbMnuLJfe6ALfdq10cTcmRb3q_QVeXIbegEd3ht9Lz9_BiwwVv_uBP-21lvmXkWgQIi9NDqHlvdQH-vScUz40mUk5fIcHZ4jAiVgLE1UntaOOPdwLO-ZM0u1ByPbtAM3MDcw3hM2VvrztL95cGVGZW-q_Kq12iLNMbBdm9FJeT05HOTUZ1uVCu8K5lvAY9KZYbqbv-ozkTfsSO8MvD0kShMUZcWmfEah5C5ScfgDXTW1r8GdYyKrALXOAkeyL-Y.0pLjhQTkVA6DYBmmBOHaVS84D8SM1BUGOMKygnSRDcw&dib_tag=se&keywords=xt30&qid=1752720098&refinements=p_36%3A-135000&rnid=386442011&sprefix=xt30%2Caps%2C158&sr=8-14-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&th=1
Amazon,Connectors,$8.99,1,$8.99,https://www.amazon.com/OliRC-XT-30-Female-Connector-Adapter/dp/B07XDW7JLW/ref=sr_1_4_sspa?crid=N9VTI2J8BI99&dib=eyJ2IjoiMSJ9.NrBmfVSiMFq6njurEY1E8lFR8ux220Sx0Zgo6zrk6YeWcAsCfsSxd_UptVEdyfQ_Nx7gGLrPM05C4XssdnrVGAqnp_L04YNdyQ2vW-3UGd0zd8WWdXr5vDDdiaT1f3qw-hu-pqmV6WRypCihSybEMwCqyg1nRArXTIhB9LzlUSf8FHCOaamu4Y5QIaL2UHhxRW6_2XM3ORx0RGM4R_0Dz8cVnQ1mxm9MXU6GiJpxySGhrXN6YxN10NlCRxU61k5Aap4J5So-9b0SThP1WlWHPhfCbNrPUKJjQkhzJNBv6aU.AdZ2CQS8vZmA2Id9B_mhxWJm8iagTyKP-uMVB-JOTxI&dib_tag=se&keywords=xt30+to+xt60+adapter&qid=1752720522&sprefix=xt30+to%2Caps%2C111&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
PalmBeachBots,Saftey Clamp,$5,1,$5,https://palmbeachbots.com/products/safety-clamp?_pos=1&_sid=875889858&_ss=r
PalmBeachBots,80T Belt,$3,2,$6,https://palmbeachbots.com/products/s3m-timing-belt-240mm-80t?_pos=2&_sid=7babfe4cf&_ss=r
PalmBeachBots,57T Belt,$2.30,2,$4.60,https://palmbeachbots.com/products/fingertech-s3m-timing-belt-171mm-57t?_pos=1&_sid=2cd3c7200&_ss=r
Amazon,Controler + Reciever,$57.99,1,$57.99,https://palmbeachbots.com/products/flysky-fs-i6-2-4ghz-6-channel-transmitter-with-receiver?_pos=2&_sid=1371729e3&_ss=r
